Fecha,Hora,Precio
2021-08-27,22,"288,27"
2021-08-27,23,"193,74"
2021-08-27,24,"190,27"
2021-08-28,01,"161,88"
2021-08-28,02,"160,63"
2021-08-28,03,"157,87"
2021-08-28,04,"157,15"
2021-08-28,05,"152,25"
2021-08-28,06,"150,74"
2021-08-28,07,"153,11"
2021-08-28,08,"154,25"
2021-08-28,09,"153,57"
2021-08-28,10,"152,34"
2021-08-28,11,"137,79"
2021-08-28,12,"121,78"
2021-08-28,13,"120,14"
2021-08-28,14,"123,79"
2021-08-28,15,"121,22"
2021-08-28,16,"118,31"
2021-08-28,17,"115,80"
2021-08-28,18,"114,81"
2021-08-28,19,"124,87"
2021-08-28,20,"127,21"
2021-08-28,21,"153,97"
2021-08-28,22,"161,92"
2021-08-28,23,"160,41"
2021-08-28,24,"154,55"
2021-08-29,01,"137,64"
2021-08-29,02,"127,28"
2021-08-29,03,"127,06"
2021-08-29,04,"128,47"
2021-08-29,05,"128,81"
2021-08-29,06,"128,14"
2021-08-29,07,"137,71"
2021-08-29,08,"138,10"
2021-08-29,09,"136,20"
2021-08-29,10,"137,31"
2021-08-29,11,"122,16"
2021-08-29,12,"121,90"
2021-08-29,13,"122,02"
2021-08-29,14,"126,07"
2021-08-29,15,"128,83"
2021-08-29,16,"122,03"
2021-08-29,17,"122,01"
2021-08-29,18,"123,23"
2021-08-29,19,"124,28"
2021-08-29,20,"144,65"
2021-08-29,21,"161,38"
2021-08-29,22,"163,92"
2021-08-29,23,"162,19"
2021-08-29,24,"161,23"
2021-08-30,01,"157,85"
2021-08-30,02,"152,65"
2021-08-30,03,"147,29"
2021-08-30,04,"146,87"
2021-08-30,05,"151,52"
2021-08-30,06,"156,53"
2021-08-30,07,"159,14"
2021-08-30,08,"161,05"
2021-08-30,09,"198,66"
2021-08-30,10,"198,55"
2021-08-30,11,"286,52"
2021-08-30,12,"283,25"
2021-08-30,13,"282,37"
2021-08-30,14,"282,06"
2021-08-30,15,"188,83"
2021-08-30,16,"186,69"
2021-08-30,17,"185,54"
2021-08-30,18,"187,25"
2021-08-30,19,"280,97"
2021-08-30,20,"288,84"
2021-08-30,21,"291,14"
2021-08-30,22,"295,66"
2021-08-30,23,"198,33"
2021-08-30,24,"195,84"
2021-08-31,01,"166,26"
2021-08-31,02,"164,82"
2021-08-31,03,"163,78"
2021-08-31,04,"159,90"
2021-08-31,05,"160,61"
2021-08-31,06,"162,26"
2021-08-31,07,"166,37"
2021-08-31,08,"166,32"
2021-08-31,09,"204,91"
2021-08-31,10,"202,07"
2021-08-31,11,"290,29"
2021-08-31,12,"287,02"
2021-08-31,13,"286,86"
2021-08-31,14,"287,41"
2021-08-31,15,"194,23"
2021-08-31,16,"188,41"
2021-08-31,17,"188,02"
2021-08-31,18,"193,71"
2021-08-31,19,"289,76"
2021-08-31,20,"295,54"
2021-08-31,21,"298,09"
2021-08-31,22,"301,19"
2021-08-31,23,"204,14"
2021-08-31,24,"202,51"
2021-09-01,01,"163,80"
2021-09-01,02,"158,44"
2021-09-01,03,"151,73"
2021-09-01,04,"147,12"
2021-09-01,05,"147,22"
2021-09-01,06,"154,86"
2021-09-01,07,"165,29"
2021-09-01,08,"169,36"
2021-09-01,09,"205,62"
2021-09-01,10,"203,20"
2021-09-01,11,"294,30"
2021-09-01,12,"293,39"
2021-09-01,13,"293,24"
2021-09-01,14,"293,02"
2021-09-01,15,"199,90"
2021-09-01,16,"199,59"
2021-09-01,17,"200,34"
2021-09-01,18,"200,57"
2021-09-01,19,"296,22"
2021-09-01,20,"300,68"
2021-09-01,21,"302,77"
2021-09-01,22,"303,46"
2021-09-01,23,"209,61"
2021-09-01,24,"209,58"
2021-09-02,01,"174,78"
2021-09-02,02,"174,78"
2021-09-02,03,"173,83"
2021-09-02,04,"173,22"
2021-09-02,05,"173,09"
2021-09-02,06,"172,96"
2021-09-02,07,"174,36"
2021-09-02,08,"173,94"
2021-09-02,09,"209,86"
2021-09-02,10,"207,25"
2021-09-02,11,"299,28"
2021-09-02,12,"297,87"
2021-09-02,13,"298,34"
2021-09-02,14,"298,75"
2021-09-02,15,"205,19"
2021-09-02,16,"204,53"
2021-09-02,17,"203,59"
2021-09-02,18,"204,42"
2021-09-02,19,"300,04"
2021-09-02,20,"306,57"
2021-09-02,21,"308,05"
2021-09-02,22,"312,29"
2021-09-02,23,"216,61"
2021-09-02,24,"214,19"
2021-09-03,01,"178,86"
2021-09-03,02,"176,45"
2021-09-03,03,"175,48"
2021-09-03,04,"175,46"
2021-09-03,05,"174,77"
2021-09-03,06,"174,26"
2021-09-03,07,"175,35"
2021-09-03,08,"176,44"
2021-09-03,09,"213,16"
2021-09-03,10,"209,78"
2021-09-03,11,"299,94"
2021-09-03,12,"296,76"
2021-09-03,13,"290,54"
2021-09-03,14,"291,82"
2021-09-03,15,"192,03"
2021-09-03,16,"186,31"
2021-09-03,17,"183,13"
2021-09-03,18,"186,13"
2021-09-03,19,"297,49"
2021-09-03,20,"307,44"
2021-09-03,21,"309,11"
2021-09-03,22,"312,59"
2021-09-03,23,"217,67"
2021-09-03,24,"214,95"
2021-09-04,01,"186,59"
2021-09-04,02,"186,88"
2021-09-04,03,"185,97"
2021-09-04,04,"185,37"
2021-09-04,05,"185,97"
2021-09-04,06,"184,78"
2021-09-04,07,"185,61"
2021-09-04,08,"184,91"
2021-09-04,09,"182,24"
2021-09-04,10,"174,08"
2021-09-04,11,"149,69"
2021-09-04,12,"143,89"
2021-09-04,13,"143,28"
2021-09-04,14,"142,29"
2021-09-04,15,"139,20"
2021-09-04,16,"134,49"
2021-09-04,17,"134,43"
2021-09-04,18,"135,65"
2021-09-04,19,"162,68"
2021-09-04,20,"184,82"
2021-09-04,21,"187,88"
2021-09-04,22,"188,78"
2021-09-04,23,"187,54"
2021-09-04,24,"186,78"
2021-09-05,01,"188,22"
2021-09-05,02,"186,33"
2021-09-05,03,"179,53"
2021-09-05,04,"174,53"
2021-09-05,05,"171,31"
2021-09-05,06,"174,70"
2021-09-05,07,"175,35"
2021-09-05,08,"173,62"
2021-09-05,09,"166,32"
2021-09-05,10,"149,33"
2021-09-05,11,"137,58"
2021-09-05,12,"135,94"
2021-09-05,13,"133,50"
2021-09-05,14,"135,24"
2021-09-05,15,"135,99"
2021-09-05,16,"134,77"
2021-09-05,17,"135,86"
2021-09-05,18,"138,95"
2021-09-05,19,"163,40"
2021-09-05,20,"186,17"
2021-09-05,21,"197,91"
2021-09-05,22,"192,50"
2021-09-05,23,"191,51"
2021-09-05,24,"188,16"
2021-09-06,01,"178,50"
2021-09-06,02,"165,00"
2021-09-06,03,"151,71"
2021-09-06,04,"144,14"
2021-09-06,05,"144,05"
2021-09-06,06,"145,69"
2021-09-06,07,"173,59"
2021-09-06,08,"179,86"
2021-09-06,09,"216,30"
2021-09-06,10,"206,26"
2021-09-06,11,"294,58"
2021-09-06,12,"294,40"
2021-09-06,13,"289,34"
2021-09-06,14,"284,43"
2021-09-06,15,"189,32"
2021-09-06,16,"189,51"
2021-09-06,17,"194,11"
2021-09-06,18,"204,19"
2021-09-06,19,"310,37"
2021-09-06,20,"317,03"
2021-09-06,21,"317,12"
2021-09-06,22,"314,57"
2021-09-06,23,"210,85"
2021-09-06,24,"189,82"
2021-09-07,01,"164,17"
2021-09-07,02,"145,53"
2021-09-07,03,"141,91"
2021-09-07,04,"138,82"
2021-09-07,05,"137,99"
2021-09-07,06,"140,77"
2021-09-07,07,"161,08"
2021-09-07,08,"178,08"
2021-09-07,09,"218,98"
2021-09-07,10,"208,62"
2021-09-07,11,"293,35"
2021-09-07,12,"277,84"
2021-09-07,13,"268,26"
2021-09-07,14,"264,78"
2021-09-07,15,"171,21"
2021-09-07,16,"171,03"
2021-09-07,17,"176,69"
2021-09-07,18,"200,64"
2021-09-07,19,"301,94"
2021-09-07,20,"312,51"
2021-09-07,21,"317,44"
2021-09-07,22,"317,90"
2021-09-07,23,"221,97"
2021-09-07,24,"217,24"
2021-09-08,01,"174,22"
2021-09-08,02,"169,46"
2021-09-08,03,"164,22"
2021-09-08,04,"157,55"
2021-09-08,05,"158,28"
2021-09-08,06,"164,17"
2021-09-08,07,"173,77"
2021-09-08,08,"177,17"
2021-09-08,09,"215,01"
2021-09-08,10,"211,34"
2021-09-08,11,"297,69"
2021-09-08,12,"294,73"
2021-09-08,13,"292,04"
2021-09-08,14,"286,76"
2021-09-08,15,"179,48"
2021-09-08,16,"171,65"
2021-09-08,17,"180,79"
2021-09-08,18,"201,77"
2021-09-08,19,"302,33"
2021-09-08,20,"314,02"
2021-09-08,21,"316,99"
2021-09-08,22,"316,56"
2021-09-08,23,"221,00"
2021-09-08,24,"208,65"
2021-09-09,01,"178,32"
2021-09-09,02,"170,28"
2021-09-09,03,"162,70"
2021-09-09,04,"155,06"
2021-09-09,05,"153,92"
2021-09-09,06,"156,82"
2021-09-09,07,"173,88"
2021-09-09,08,"182,26"
